"","x"
"198","RT @GOPLeader: It�s official: Dems to call House back on Tuesday to pass more �stimulus� spending, """"paid for"""" with new job-killing tax o ..."
"199","RT @GOPWhip: Tired of Big Government spending? #YouCut lets you vote on cuts you want to see the House enact http://j.mp/aJaxYA #tcot"
"200","RT @USASpeakingOut: House GOP to unveil governing agenda focused on jobs, cutting spending, reform in Sterling, VA on Thursday"
"201","RT @RevRico: Rep. Kevin McCarthy (R-Bakersfield) warns of federal spending and deficits ... http://tinyurl.com/ydcfemw"
"202","RT @reppaulryan: Cut/cap spending, reform F&amp;F, freeze gov't pay - to cast your vote to cut spending now @usaspeakingout: http://bit.ly/9 ..."
"203","It�s President Obama�s Spending Spree � Not the #Pledge to America � That Threatens Our Children�s Future http://t.co/emTuD2O"
"204","RT @GOPWhip Allow our voice to be heard on out of control spending: http://bit.ly/EBxBl Please RT. Thanks @RepKenMarchant"
"205","RT @GOPWhip: Washington's runaway spending amounts to generational theft; this 30 second video drives that point home: http://j.mp/PiggyBank"
"206","What do you think about the President�s new budget that continues record borrowing and spending? http://j.mp/9048Q5"
"207","Check out this new video from @GOPWhip - http://j.mp/dcKEkA - �Tick Tock - More Democrat Spending� #tcot #gop #sgp"
"208","RT @GOPLeader:.@AP reports on GOP Pledge to America: GOP emphasize job creation, spending control, congressional reform http://bit.ly/a4v4UW"
"209","Health care summit or not, we need jobs &amp; less spending. What do you think? http://j.mp/aDJNiu #tcot #ocra #HC"
"210","RT @USASpeakingOut: Americans asking, Where are the Jobs? @GOPLeader offers 2-point plan: cut spending, freeze taxes: http://bit.ly/cN84ut"
"211","66% of Americans believe cutting taxes is a better way to create new #jobs than increasing gov spending http://j.mp/9MlSaV"
"212","Do you think Congress should cut spending? Vote how we should cut here --&amp;gt; http://republicanwhip.house.gov/youcut/ #YouCut #tcot"
"213","RT @gopleader .@AP reports on #pledge: GOP governing agenda emphasizes job creation, spending control, congress reform http://bit.ly/dsUfFt"
"214","Massive government spending + more business taxes = less economic growth http://j.mp/88bGPT"
"215","RT @GOPWhip The Hill:Job proposals from Dems could add $300 billion of spending http://j.mp/5jspmv #tcot"
"216","WSJ predicts �monumental future tax increases� b/c of out of control Washington spending in Pelosi�s Congress http://bit.ly/3Salym"
