"","x"
"1206","Neutral"
"1207","Neutral"
"1208","Neutral"
"1209","Neutral"
"1210","Neutral"
"1211","Neutral"
"1212","Neutral"
"1213","Neutral"
"1214","Neutral"
"1215","Neutral"
"1216","Neutral"
"1217","Neutral"
"1218","Neutral"
"1219","Neutral"
"1220","Neutral"
"1221","Neutral"
"1222","Neutral"
"1223","Neutral"
"1224","Neutral"
"1225","Neutral"
"1226","Neutral"
"1227","Neutral"
"1228","Neutral"
"1229","Neutral"
"1230","Neutral"
"1231","Neutral"
"1232","Neutral"
"1233","Neutral"
"1234","Neutral"
"1235","Neutral"
"1236","Neutral"
"1237","Neutral"
"1238","Neutral"
"1239","Neutral"
"1240","Neutral"
"1241","Neutral"
"1242","Neutral"
"1243","Neutral"
"1244","Neutral"
"1245","Neutral"
"1246","Neutral"
"1247","Neutral"
"1248","Neutral"
"1249","Neutral"
"1250","Neutral"
"1251","Neutral"
"1252","Neutral"
"1253","Neutral"
"1254","Neutral"
"1255","Neutral"
"1256","Neutral"
"1257","Neutral"
"1258","Neutral"
"1259","Neutral"
"1260","Neutral"
"1261","Neutral"
"1262","Neutral"
"1263","Neutral"
"1264","Neutral"
"1265","Neutral"
"1266","Neutral"
"1267","Neutral"
"1268","Neutral"
"1269","Neutral"
"1270","Neutral"
"1271","Neutral"
"1272","Neutral"
"1273","Neutral"
"1274","Neutral"
"1275","Neutral"
"1276","Neutral"
"1277","Neutral"
"1278","Neutral"
"1279","Neutral"
"1280","Neutral"
"1281","Neutral"
"1282","Neutral"
"1283","Neutral"
"1284","Neutral"
"1285","Neutral"
"1286","Neutral"
"1287","Neutral"
"1288","Neutral"
"1289","Neutral"
"1290","Neutral"
"1291","Neutral"
"1292","Neutral"
"1293","Neutral"
"1294","Neutral"
"1295","Neutral"
"1296","Neutral"
"1297","Neutral"
"1298","Neutral"
"1299","Neutral"
"1300","Neutral"
"1301","Neutral"
"1302","Neutral"
"1303","Neutral"
"1304","Neutral"
"1305","Neutral"
"1306","Neutral"
"1307","Neutral"
"1308","Neutral"
"1309","Neutral"
"1310","Neutral"
"1311","Neutral"
"1312","Neutral"
"1313","Neutral"
"1314","Neutral"
"1315","Neutral"
"1316","Neutral"
"1317","Neutral"
"1318","Neutral"
"1319","Neutral"
"1320","Neutral"
"1321","Neutral"
"1322","Neutral"
"1323","Neutral"
"1324","Neutral"
"1325","Neutral"
"1326","Neutral"
"1327","Neutral"
"1328","Neutral"
"1329","Neutral"
"1330","Neutral"
"1331","Neutral"
"1332","Neutral"
"1333","Neutral"
"1334","Neutral"
"1335","Neutral"
"1336","Neutral"
"1337","Neutral"
"1338","Neutral"
"1339","Neutral"
"1340","Neutral"
"1341","Neutral"
"1342","Neutral"
"1343","Neutral"
"1344","Neutral"
"1345","Neutral"
"1346","Neutral"
"1347","Neutral"
"1348","Neutral"
"1349","Neutral"
"1350","Neutral"
"1351","Neutral"
"1352","Neutral"
"1353","Neutral"
"1354","Neutral"
"1355","Neutral"
"1356","Neutral"
"1357","Neutral"
"1358","Neutral"
"1359","Neutral"
"1360","Neutral"
"1361","Neutral"
"1362","Neutral"
"1363","Neutral"
"1364","Neutral"
"1365","Neutral"
"1366","Neutral"
"1367","Neutral"
"1368","Neutral"
"1369","Neutral"
"1370","Neutral"
"1371","Neutral"
"1372","Neutral"
"1373","Neutral"
"1374","Neutral"
"1375","Neutral"
"1376","Neutral"
"1377","Neutral"
"1378","Neutral"
"1379","Neutral"
"1380","Neutral"
"1381","Neutral"
"1382","Neutral"
"1383","Neutral"
"1384","Neutral"
"1385","Neutral"
"1386","Neutral"
"1387","Neutral"
"1388","Neutral"
"1389","Neutral"
"1390","Neutral"
"1391","Neutral"
"1392","Neutral"
"1393","Neutral"
"1394","Neutral"
"1395","Neutral"
"1396","Neutral"
"1397","Neutral"
"1398","Neutral"
"1399","Neutral"
"1400","Neutral"
"1401","Neutral"
"1402","Neutral"
"1403","Neutral"
"1404","Neutral"
"1405","Neutral"
"1406","Neutral"
"1407","Neutral"
"1408","Neutral"
"1409","Neutral"
"1410","Neutral"
"1411","Neutral"
"1412","Neutral"
"1413","Neutral"
"1414","Neutral"
"1415","Neutral"
"1416","Neutral"
"1417","Neutral"
"1418","Neutral"
"1419","Neutral"
"1420","Neutral"
"1421","Neutral"
"1422","Neutral"
"1423","Neutral"
"1424","Neutral"
"1425","Neutral"
"1426","Neutral"
"1427","Neutral"
"1428","Neutral"
"1429","Neutral"
"1430","Neutral"
"1431","Neutral"
"1432","Neutral"
"1433","Neutral"
"1434","Neutral"
"1435","Neutral"
"1436","Neutral"
"1437","Neutral"
"1438","Neutral"
"1439","Neutral"
"1440","Neutral"
"1441","Neutral"
"1442","Neutral"
"1443","Neutral"
"1444","Neutral"
"1445","Neutral"
"1446","Neutral"
"1447","Neutral"
"1448","Neutral"
"1449","Neutral"
"1450","Neutral"
"1451","Neutral"
"1452","Neutral"
"1453","Neutral"
"1454","Neutral"
"1455","Neutral"
"1456","Neutral"
"1457","Neutral"
"1458","Neutral"
"1459","Neutral"
"1460","Neutral"
"1461","Neutral"
"1462","Neutral"
"1463","Neutral"
"1464","Neutral"
"1465","Neutral"
"1466","Neutral"
"1467","Neutral"
"1468","Neutral"
"1469","Neutral"
"1470","Neutral"
"1471","Neutral"
"1472","Neutral"
"1473","Neutral"
"1474","Neutral"
"1475","Neutral"
"1476","Neutral"
"1477","Neutral"
"1478","Neutral"
"1479","Neutral"
"1480","Neutral"
"1481","Neutral"
"1482","Neutral"
"1483","Neutral"
"1484","Neutral"
"1485","Neutral"
"1486","Neutral"
"1487","Neutral"
"1488","Neutral"
"1489","Neutral"
"1490","Neutral"
"1491","Neutral"
"1492","Neutral"
"1493","Neutral"
"1494","Neutral"
"1495","Neutral"
"1496","Neutral"
"1497","Neutral"
"1498","Neutral"
"1499","Neutral"
"1500","Neutral"
"1501","Neutral"
"1502","Neutral"
"1503","Neutral"
"1504","Neutral"
"1505","Neutral"
"1506","Neutral"
"1507","Neutral"
"1508","Neutral"
"1509","Neutral"
"1510","Neutral"
"1511","Neutral"
"1512","Neutral"
"1513","Neutral"
"1514","Neutral"
"1515","Neutral"
"1516","Neutral"
"1517","Neutral"
"1518","Neutral"
"1519","Neutral"
"1520","Neutral"
"1521","Neutral"
"1522","Neutral"
